study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA472381	SAMN09233255	SRS3324256	SRX4108606	SRR7191906	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191906/SRR7191906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191906/SRR7191906_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191906/SRR7191906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191906/SRR7191906_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/006/SRR7191906	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/006/SRR7191906		
PRJNA472381	SAMN09233255	SRS3324256	SRX4108606	SRR7191907	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191907/SRR7191907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191907/SRR7191907_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191907/SRR7191907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191907/SRR7191907_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/007/SRR7191907	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/007/SRR7191907		
PRJNA472381	SAMN09233254	SRS3324257	SRX4108607	SRR7191908	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191908/SRR7191908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191908/SRR7191908_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191908/SRR7191908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191908/SRR7191908_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/008/SRR7191908	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/008/SRR7191908		
PRJNA472381	SAMN09233254	SRS3324257	SRX4108607	SRR7191909	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191909/SRR7191909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191909/SRR7191909_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191909/SRR7191909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191909/SRR7191909_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/009/SRR7191909	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/009/SRR7191909		
PRJNA472381	SAMN09233254	SRS3324257	SRX4108607	SRR7191910	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191910/SRR7191910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191910/SRR7191910_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191910/SRR7191910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191910/SRR7191910_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/000/SRR7191910	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/000/SRR7191910		
PRJNA472381	SAMN09233254	SRS3324257	SRX4108607	SRR7191911	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191911/SRR7191911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191911/SRR7191911_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191911/SRR7191911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191911/SRR7191911_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/001/SRR7191911	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/001/SRR7191911		
PRJNA472381	SAMN09233253	SRS3324258	SRX4108608	SRR7191912	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191912/SRR7191912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191912/SRR7191912_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191912/SRR7191912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191912/SRR7191912_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/002/SRR7191912	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/002/SRR7191912		
PRJNA472381	SAMN09233253	SRS3324258	SRX4108608	SRR7191913	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191913/SRR7191913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191913/SRR7191913_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191913/SRR7191913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191913/SRR7191913_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/003/SRR7191913	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/003/SRR7191913		
PRJNA472381	SAMN09233253	SRS3324258	SRX4108608	SRR7191914	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191914/SRR7191914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191914/SRR7191914_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191914/SRR7191914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191914/SRR7191914_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7191914	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7191914		
PRJNA472381	SAMN09233253	SRS3324258	SRX4108608	SRR7191915	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191915/SRR7191915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191915/SRR7191915_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191915/SRR7191915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191915/SRR7191915_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/005/SRR7191915	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/005/SRR7191915		
PRJNA472381	SAMN09233252	SRS3324260	SRX4108609	SRR7191916	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191916/SRR7191916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191916/SRR7191916_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191916/SRR7191916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/006/SRR7191916/SRR7191916_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/006/SRR7191916	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/006/SRR7191916		
PRJNA472381	SAMN09233252	SRS3324260	SRX4108609	SRR7191917	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191917/SRR7191917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191917/SRR7191917_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191917/SRR7191917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/007/SRR7191917/SRR7191917_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/007/SRR7191917	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/007/SRR7191917		
PRJNA472381	SAMN09233250	SRS3324259	SRX4108610	SRR7191918	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191918/SRR7191918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191918/SRR7191918_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191918/SRR7191918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/008/SRR7191918/SRR7191918_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/008/SRR7191918	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/008/SRR7191918		
PRJNA472381	SAMN09233250	SRS3324259	SRX4108610	SRR7191919	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191919/SRR7191919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191919/SRR7191919_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191919/SRR7191919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/009/SRR7191919/SRR7191919_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/009/SRR7191919	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/009/SRR7191919		
PRJNA472381	SAMN09233249	SRS3324261	SRX4108611	SRR7191920	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191920/SRR7191920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191920/SRR7191920_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191920/SRR7191920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/000/SRR7191920/SRR7191920_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/000/SRR7191920	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/000/SRR7191920		
PRJNA472381	SAMN09233249	SRS3324261	SRX4108611	SRR7191921	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191921/SRR7191921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191921/SRR7191921_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191921/SRR7191921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/001/SRR7191921/SRR7191921_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/001/SRR7191921	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/001/SRR7191921		
PRJNA472381	SAMN09233248	SRS3324262	SRX4108612	SRR7191922	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191922/SRR7191922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191922/SRR7191922_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191922/SRR7191922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/002/SRR7191922/SRR7191922_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/002/SRR7191922	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/002/SRR7191922		
PRJNA472381	SAMN09233248	SRS3324262	SRX4108612	SRR7191923	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191923/SRR7191923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191923/SRR7191923_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191923/SRR7191923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/003/SRR7191923/SRR7191923_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/003/SRR7191923	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/003/SRR7191923		
PRJNA472381	SAMN09233247	SRS3324263	SRX4108613	SRR7191924	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191924/SRR7191924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191924/SRR7191924_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191924/SRR7191924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/004/SRR7191924/SRR7191924_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7191924	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/004/SRR7191924		
PRJNA472381	SAMN09233247	SRS3324263	SRX4108613	SRR7191925	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191925/SRR7191925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191925/SRR7191925_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191925/SRR7191925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR719/005/SRR7191925/SRR7191925_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR719/005/SRR7191925	ftp.sra.ebi.ac.uk/vol1/srr/SRR719/005/SRR7191925		
