Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,resident_tissue,Sample Name,source_name,SRA Study
SRR7192010,RNA-Seq,100,9646736200,PRJNA472383,SAMN09233381,5142345935,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108659,GSM3148608,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148608,BC03,SRP148597
SRR7192012,RNA-Seq,100,9071926000,PRJNA472383,SAMN09233380,4767108714,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108660,GSM3148609,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148609,BC03,SRP148597
SRR7192015,RNA-Seq,100,8888184200,PRJNA472383,SAMN09233379,4657877026,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108661,GSM3148610,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148610,BC03,SRP148597
SRR7192017,RNA-Seq,100,6107730100,PRJNA472383,SAMN09233379,3201854617,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108661,GSM3148610,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast,GSM3148610,BC03,SRP148597
SRR7192019,RNA-Seq,100,31969843800,PRJNA472383,SAMN09233358,11175354048,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108663,GSM3148612,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148612,BC03,SRP148597
SRR7192021,RNA-Seq,100,3707393800,PRJNA472383,SAMN09233358,1405886178,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108663,GSM3148612,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148612,BC03,SRP148597
SRR7192023,RNA-Seq,100,3868839000,PRJNA472383,SAMN09233358,1467594828,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108663,GSM3148612,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148612,BC03,SRP148597
SRR7192026,RNA-Seq,202,6946167132,PRJNA472383,SAMN09233355,2677136518,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108665,GSM3148614,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148614,BC04,SRP148597
SRR7192028,RNA-Seq,202,6906927016,PRJNA472383,SAMN09233355,2779729781,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108665,GSM3148614,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148614,BC04,SRP148597
SRR7192030,RNA-Seq,202,12720210478,PRJNA472383,SAMN09233354,4901586102,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108666,GSM3148615,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148615,BC04,SRP148597
SRR7192034,RNA-Seq,202,4151151712,PRJNA472383,SAMN09233352,1590169883,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108667,GSM3148616,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148616,BC04,SRP148597
SRR7192035,RNA-Seq,100,7000000000,PRJNA472383,SAMN09233352,2668088936,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108667,GSM3148616,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148616,BC04,SRP148597
SRR7192037,RNA-Seq,202,9563138338,PRJNA472383,SAMN09233351,3620994008,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108668,GSM3148617,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148617,BC04,SRP148597
SRR7192039,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233349,5392567294,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108669,GSM3148618,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148618,BC04,SRP148597
SRR7192041,RNA-Seq,100,6445543400,PRJNA472383,SAMN09233349,2446150571,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108669,GSM3148618,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148618,BC04,SRP148597
SRR7192043,RNA-Seq,202,3775487464,PRJNA472383,SAMN09233348,1472473881,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108670,GSM3148619,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148619,BC04,SRP148597
SRR7192045,RNA-Seq,202,2149760154,PRJNA472383,SAMN09233346,805093654,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108671,GSM3148620,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148620,BC04,SRP148597
SRR7192046,RNA-Seq,202,4669122536,PRJNA472383,SAMN09233346,1798575613,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108671,GSM3148620,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,blood,GSM3148620,BC04,SRP148597
SRR7192048,RNA-Seq,100,5356044000,PRJNA472383,SAMN09233344,2043422059,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108672,GSM3148621,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148621,BC04,SRP148597
SRR7192052,RNA-Seq,202,6762646294,PRJNA472383,SAMN09233333,2634425223,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108673,GSM3148622,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148622,BC04,SRP148597
SRR7192053,RNA-Seq,100,7000000000,PRJNA472383,SAMN09233330,2673553102,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108674,GSM3148623,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148623,BC04,SRP148597
SRR7192055,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233330,5371374003,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108674,GSM3148623,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148623,BC04,SRP148597
SRR7192057,RNA-Seq,100,7000000000,PRJNA472383,SAMN09233329,2685176380,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108675,GSM3148624,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148624,BC04,SRP148597
SRR7192059,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233329,5357227655,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108675,GSM3148624,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148624,BC04,SRP148597
SRR7192061,RNA-Seq,100,7000000000,PRJNA472383,SAMN09233328,2680181218,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108676,GSM3148625,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148625,BC04,SRP148597
SRR7192063,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233328,5349856780,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108676,GSM3148625,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148625,BC04,SRP148597
SRR7192064,RNA-Seq,202,2614389646,PRJNA472383,SAMN09233328,1001060490,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108676,GSM3148625,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148625,BC04,SRP148597
SRR7192065,RNA-Seq,100,7000000000,PRJNA472383,SAMN09233327,2680317761,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108677,GSM3148626,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148626,BC04,SRP148597
SRR7192067,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233327,5334515270,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108677,GSM3148626,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148626,BC04,SRP148597
SRR7192068,RNA-Seq,202,5073147786,PRJNA472383,SAMN09233327,1955845593,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108677,GSM3148626,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148626,BC04,SRP148597
SRR7192072,RNA-Seq,202,12629489248,PRJNA472383,SAMN09233376,4970019270,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108679,GSM3148628,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148628,BC05,SRP148597
SRR7192075,RNA-Seq,202,13497375380,PRJNA472383,SAMN09233375,5302151118,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108680,GSM3148629,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148629,BC05,SRP148597
SRR7192077,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233374,5435946207,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108681,GSM3148630,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148630,BC05,SRP148597
SRR7192079,RNA-Seq,202,14140000000,PRJNA472383,SAMN09233373,5388945692,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108682,GSM3148631,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148631,BC06,SRP148597
SRR7192081,RNA-Seq,202,7226704530,PRJNA472383,SAMN09233373,2874708370,CD45+ leukocytes,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4108682,GSM3148631,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-06-28T00:00:00Z,breast tumor,GSM3148631,BC06,SRP148597
